phc_id,state,district,subdistrict,name,latitude,longitude,is_active,beds,doctors,nurses
PHCR014420,Madhya Pradesh,Hoshangabad,Sohagpur,Semari Harchand,22.6888,78.09247167,False,,,
PHCR014421,Madhya Pradesh,Indore,Indore,UPHC Sudama Nagar,22.689195,75.833059,False,,,
PHCR014422,Madhya Pradesh,Indore,Indore,CD AZAD NAGAR,22.697721,75.887525,False,,,
PHCR014423,Madhya Pradesh,Indore,Indore,UPHC BHAWARKUAN,22.698723,75.853901,False,,,
PHCR014424,Madhya Pradesh,Indore,Indore,UPHC Sirpur,22.700609,75.814173,False,,,
PHCR014425,Madhya Pradesh,Dewas,Barotha (Dewas),Doblechoki,22.70335399,76.12435668,False,,,
PHCR014426,Madhya Pradesh,Seoni,Lakhnadon,Chauki,22.70699667,79.78261333,False,,,
PHCR014427,Madhya Pradesh,Sehore,Budni,PHC Ninore,22.70808167,77.5852,False,,,
PHCR014428,Madhya Pradesh,Jhabua,Rama,PITHANPUR,22.708204,74.632316,False,,,
PHCR014429,Madhya Pradesh,Indore,Indore,MOG LINE,22.709346,75.84177,False,,,
PHCR014430,Madhya Pradesh,Dindori,Karanjiya,GORAKHPUR,22.711766,80.977437,False,,,
PHCR014431,Madhya Pradesh,Indore,Indore,CD HARSIDDHI,22.712409,75.856054,False,,,
PHCR014432,Madhya Pradesh,Dindori,Shahpura,BARGAON,22.714675,81.655561,False,,,
PHCR014433,Madhya Pradesh,Seoni,Ghansor,Bamni kadarpur,22.71600833,80.15866,False,,,
PHCR014434,Madhya Pradesh,Indore,Indore,BICHOLI HAPSI,22.71640333,75.93907833,False,,,
PHCR014435,Madhya Pradesh,Indore,Indore,UPHC Baabu Murai,22.716883,75.829652,False,,,
PHCR014436,Madhya Pradesh,Indore,Indore,UPHC Gwaltoli,22.718383,75.890429,False,,,
PHCR014437,Madhya Pradesh,Indore,Indore,UPHC KRISHNAPURA,22.71903,75.858025,False,,,
PHCR014438,Madhya Pradesh,Indore,Sawer,CHANDRAWATIGANJ,22.719569,75.857726,False,,,
PHCR014439,Madhya Pradesh,Indore,Indore,UPHC Shivbrahm Nagar,22.719569,75.857726,False,,,
PHCR014440,Madhya Pradesh,Indore,Indore,CD Mohta Nagar,22.719569,75.857726,False,,,
PHCR014441,Madhya Pradesh,Indore,Indore,MANGILAL CHURIYA,22.720922,80.801788,False,,,
PHCR014442,Madhya Pradesh,Dewas,Kannod,Panigaon,22.722175,76.577399,False,,,
PHCR014443,Madhya Pradesh,Dhar,Sardarpur,dasai,22.72577866,75.13682864,False,,,
PHCR014444,Madhya Pradesh,Indore,Indore,UPHC Sadar Bazar,22.727056,75.849038,False,,,
PHCR014445,Madhya Pradesh,Indore,Indore,UPHC BRINDAWAN COLONY,22.728483,75.891452,False,,,
PHCR014446,Madhya Pradesh,Indore,Indore,CD KHAJRANA,22.731456,75.914387,False,,,
PHCR014447,Madhya Pradesh,Indore,Indore,KANADIA,22.732371,75.942234,False,,,
PHCR014448,Madhya Pradesh,Dindori,Karanjiya,pd PHC ROOSA,22.735755,81.522613,False,,,
PHCR014449,Madhya Pradesh,Indore,Indore,UPHC Kulkarni ka Bhatta,22.741662,75.869137,False,,,
PHCR014450,Madhya Pradesh,Dewas,Bagli,Kamlapur,22.74577739,76.4347617,False,,,
PHCR014451,Madhya Pradesh,Hoshangabad,Hoshangabad,UPHC Malakhedi,22.745926,77.752361,False,,,
PHCR014452,Madhya Pradesh,Chhindwada,Harrai,Partapur,22.74731,79.21807,False,,,
PHCR014453,Madhya Pradesh,Seoni,Lakhnadon,Dhooma,22.74823833,79.72053667,False,,,
PHCR014454,Madhya Pradesh,Hoshangabad,Kesla,Base Hospital Tawanagar,22.75016,77.74858,False,,,
PHCR014455,Madhya Pradesh,Hoshangabad,Hoshangabad,UPHC Gwaltoli,22.751611,77.7123,False,,,
PHCR014456,Madhya Pradesh,Dewas,Khategaon,AMLA,22.75361752,76.8882724,False,,,
PHCR014457,Madhya Pradesh,Dindori,Shahpura,DUNGARIYA,22.75466,80.978819,False,,,
PHCR014458,Madhya Pradesh,Seoni,Ghansor,Durjanpur,22.75471167,79.92812167,False,,,
PHCR014459,Madhya Pradesh,Dhar,Dhar,kesur,22.76554565,75.41454484,False,,,
PHCR014460,Madhya Pradesh,Jhabua,Jhabua,PITOL,22.766561,74.496521,False,,,
PHCR014461,Madhya Pradesh,Narsinghpur,BABAI (CHICHLI),BARHABADA,22.76882,78.747255,False,,,
PHCR014462,Madhya Pradesh,Jhabua,Jhabua,UPHC Jhabua,22.769666,74.592092,False,,,
PHCR014463,Madhya Pradesh,Hoshangabad,Sohagpur,Shobhapur,22.77014333,78.25937667,False,,,
